sgsv_by_taxon_id,full_scientific_name,species,species_epithet,infraspesific_epithet,genus,taxon_authority,vernacular_name,itis_tsn,accessions,seeds,seed_boxes,countries,continents,sgsv_taxon_id
1033553,Cucumis sativus,Cucumis sativus,sativus,,Cucumis,L,garden cucumber,22364,344,101550,20,38,6,1295
1033709,Cymbopogon sp.,Cymbopogon sp.,sp.,,Cymbopogon,,lemon grass,,1,500,1,1,1,1356
1033995,Dianthus sp.,Dianthus sp.,sp.,,Dianthus,,pink,,5,2500,1,1,1,1513
1034533,Festuca arundinacea Schreb.,Festuca arundinacea,arundinacea,,Festuca,Schreb.,Alta fescue,40810,4,15565,3,2,2,1751
1035364,"Hordeum vulgare, distichon, Nutans Schubl.","Hordeum vulgare,","vulgare,",,Hordeum,,,,14,14000,1,4,3,7579
1035506,Hordeum vulgare L. convar. vulgare,Hordeum vulgare,vulgare,convar. vulgare,Hordeum,,common barley,,26,11000,6,9,3,2161
1035690,Hordeum vulgare subsp. vulgare convar. distichon,Hordeum vulgare,vulgare,subsp. vulgare convar. distichon,Hordeum,,common barley,,1713,724500,14,75,6,2194
1035951,Ipomoea piurensis O'Donell.,Ipomoea piurensis,piurensis,,Ipomoea,O'Donell.,morningglory,,3,150,1,1,1,2321
1036065,Lactuca saligna,Lactuca saligna,saligna,,Lactuca,L,willow-leaf lettuce,36606,1,500,1,1,1,2366
1036398,Linum decumbens,Linum decumbens,decumbens,,Linum,,flax,,1,500,1,1,1,2535
1036962,Medicago marina,Medicago marina,marina,,Medicago,,,,2,1150,1,2,2,6620
1037233,Mimosa albida,Mimosa albida,albida,,Mimosa,,sensitive plant,,2,2000,2,1,1,2929
1037296,Mycelis muralis,Mycelis muralis,muralis,,Mycelis,L Dumort,wall-lettuce,503893,4,1600,3,2,1,8302
1037353,Nicotiana sp.,Nicotiana sp.,sp.,,Nicotiana,,tobacco,,1,500,1,1,0,2984
1037527,Oryza barthii,Oryza barthii,barthii,,Oryza,A Chev,Barth's rice,506650,7,2900,5,5,1,5707
1037666,Panicum turgidum,Panicum turgidum,turgidum,,Panicum,,,,1,500,1,1,1,7724
1037827,Penstemon spectabilis,Penstemon spectabilis,spectabilis,,Penstemon,Thurb ex Gray,showy penstemon,33996,1,500,1,1,1,3196
1038097,Physalis sp.,Physalis sp.,sp.,,Physalis,,ground cherry,,4,4000,1,1,1,3308
1038203,Pisum sativum L. subsp. sativum convar. sativum,Pisum sativum,sativum,subsp. sativum convar. sativum,Pisum,,garden pea,,6,3000,2,3,0,3349
1038277,Pisum sativum L. subsp. sativum convar. speciosum (Dierb.) Alef. var. concolor Govorov,Pisum sativum,sativum,subsp. sativum convar. speciosum var. concolor,Pisum,Govorov,garden pea,,1,500,1,1,1,3371
1038647,Rheum sp.,Rheum sp.,sp.,,Rheum,,,,3,2500,2,1,1,9265
1038717,Ribes sp.,Ribes sp.,sp.,,Ribes,,currant,,1,500,1,1,1,3584
1038763,Rubus niveus,Rubus niveus,niveus,,Rubus,Thunb,snowpeaks raspberry,504868,2,1000,1,2,2,3616
1039166,Setaria lachnea,Setaria lachnea,lachnea,,Setaria,,bristlegrass,,1,400,1,1,1,3780
1039828,Solanum moscopanum,Solanum moscopanum,moscopanum,,Solanum,,,,1,100,1,1,1,10208
1039965,Solanum sp,Solanum sp.,sp.,,Solanum,,nightshade,,14,7000,2,9,3,4076
1040543,Tephrosia pumila (Lam.) Pers.,Tephrosia pumila,pumila,,Tephrosia,(Lam.) Pers.,hoarypea,,17,8500,1,1,1,4294
1041701,Triticum durum Desf. var.hordeiforme,Triticum durum,durum,,Triticum,,,,50,25000,3,1,1,7907
1042210,Vicia articulata Hornem.,Vicia articulata,articulata,,Vicia,Hornem.,oneflower vetch,505681,1,200,1,1,1,5098
1042272,Vicia faba var. equina,Vicia faba,faba,var. equina,Vicia,,horsebean,,1,500,1,1,1,5115
1042370,Vigna,Vigna sp.,sp.,,Vigna,,cowpea,,2,600,1,1,1,5223
1030707,Abelmoschus caillei,Abelmoschus caillei,caillei,,Abelmoschus,,,,20,8000,3,6,1,5687
1030708,Abelmoschus esculentus,Abelmoschus esculentus,esculentus,,Abelmoschus,L Moench,okra,21770,534,220717,11,32,5,5688
1030709,Abelmoschus esculentus,Abelmoschus esculentus,esculentus,,Abelmoschus,L Moench,okra,21770,27,16839,2,1,1,5688
1030710,Abelmoschus esculentus,Abelmoschus esculentus,esculentus,,Abelmoschus,L Moench,okra,21770,1,100,1,1,1,5688
1030711,Abelmoschus esculentus (Linn) Moench,Abelmoschus esculentus,esculentus,,Abelmoschus,,,,1,500,1,1,1,10306
1030712,Abelmoschus esculentus (L.) Moench,Abelmoschus esculentus,esculentus,,Abelmoschus,(L.) Moench.,okra,21770,14,7800,6,6,3,4790
1030763,Acacia filicioides,Acacia filicioides,filicioides,,Acacia,,,,1,1000,1,1,1,7955
1030713,Abelmoschus esculentus (L.) Moench,Abelmoschus esculentus,esculentus,,Abelmoschus,(L.) Moench.,okra,21770,6,3000,2,5,2,4790
1030714,Abelmoschus esculentus (L.) Moench.,Abelmoschus esculentus,esculentus,,Abelmoschus,(L.) Moench.,okra,21770,119,47357,1,15,5,4791
1030715,Abelmoschus manihot,Abelmoschus manihot,manihot,,Abelmoschus,L Medik,sunset muskmallow,21771,1,400,1,1,1,10319
1030716,Abelmoschus manihot (L.) Medik.,Abelmoschus manihot,manihot,,Abelmoschus,(L.) Medik.,sunset muskmallow,21771,5,2500,3,3,2,4792
1030717,Abelmoschus moschatus,Abelmoschus moschatus,moschatus,,Abelmoschus,Medik,musk okra,21772,2,575,2,2,1,4793
1042785,Zornia sp.,Zornia sp.,sp.,,Zornia,,zornia,,804,742600,21,16,5,5350
1030718,Abelmoschus moschatus,Abelmoschus moschatus,moschatus,,Abelmoschus,Medik,musk okra,21772,11,4400,3,5,2,7952
1030719,Abelmoschus sp.,Abelmoschus sp.,sp.,,Abelmoschus,,okra,,1,500,1,1,1,4794
1030720,Abelmoschus spp.,Abelmoschus spp.,spp.,,Abelmoschus,,,,4,1700,2,3,1,5689
1030721,Abrus precatorius,Abrus precatorius,precatorius,,Abrus,L,rosarypea,26416,17,16800,10,7,2,1
1030722,Abrus precatorius L.,Abrus precatorius,precatorius,,Abrus,L.,rosarypea,26416,1,500,1,1,1,2
1030723,Abrus pulchellus,Abrus pulchellus,pulchellus,,Abrus,,abrus,,23,22800,11,4,2,3
1030724,Abutilon sp.,Abutilon sp.,sp.,,Abutilon,,Indian mallow,,1,500,1,1,0,4795
1030725,Abutilon theophrasti,Abutilon theophrasti,theophrasti,,Abutilon,Medik,velvetleaf,21674,1,100,1,1,1,4
1030726,Abutilon theophrasti,Abutilon theophrasti,theophrasti,,Abutilon,Medik,velvetleaf,21674,46,4600,2,19,4,4
1030727,Abutilon theophrasti Medik.,Abutilon theophrasti,theophrasti,,Abutilon,Medik.,velvetleaf,21674,13,6500,4,5,2,5
1030728,Acacia abyssinica,Acacia abyssinica,abyssinica,,Acacia,,,,1,500,1,1,1,6334
1030730,Acacia acuminata Benth.,Acacia acuminata,acuminata,,Acacia,Benth.,acacia,,1,500,1,1,0,6
1030731,Acacia adunca G. Don,Acacia adunca,adunca,,Acacia,G. Don,acacia,,1,500,1,1,0,7
1030732,Acacia albida,Acacia albida,albida,,Acacia,Del,acacia,508224,1,1000,1,1,1,8
1030733,Acacia ampliceps Maslin,Acacia ampliceps,ampliceps,,Acacia,Maslin,acacia,507468,1,500,1,1,0,9
1030734,Acacia aneura,Acacia aneura,aneura,,Acacia,F Muell ex Benth,mulga,507819,3,1500,3,3,2,10
1030735,Acacia aneura F. Muell,Acacia aneura,aneura,,Acacia,F. Muell,mulga,507819,3,1500,1,2,1,11
1030736,Acacia angustissima,Acacia angustissima,angustissima,,Acacia,P Mill Kuntze,acacia,182068,9,7500,8,4,3,12
1030737,Acacia angustissima Kuntze,Acacia angustissima,angustissima,,Acacia,Kuntze,acacia,182068,23,11500,1,7,1,13
1030738,Acacia angustissima var. angustissima,Acacia angustissima,angustissima,,Acacia,,,,1,500,1,1,1,7953
1030739,Acacia angustissima var. suffrutescens,Acacia angustissima,angustissima,,Acacia,Rose Isely,prairie acacia,182072,1,500,1,1,1,7954
1030740,Acacia arenaria,Acacia arenaria,arenaria,,Acacia,,acacia,,2,1500,2,1,1,14
